,trip_id,user_id,start_date,end_date,province_list
0,1,1,2021-09-16,2021-09-16,Sukhothai
1,2,1,2021-09-16,2021-11-19,Phayao
2,3,1,2021-11-19,2021-12-20,"Sukhothai, Chiang Rai, Lampang, Phayao"
3,4,1,2021-12-20,2021-12-20,Lampang
4,5,1,2021-12-20,2021-12-25,"Nonthaburi, Bangkok"
5,6,1,2021-12-28,2021-12-29,Lampang
6,7,2,2021-01-02,2021-01-02,Phra Nakhon Si Ayutthaya
7,8,2,2021-04-05,2021-04-06,"Ang Thong, Phra Nakhon Si Ayutthaya, Nonthaburi"
8,9,2,2021-09-15,2021-09-16,Nonthaburi
9,10,2,2021-10-19,2021-10-20,"Phra Nakhon Si Ayutthaya, Nonthaburi"
10,11,2,2021-11-19,2021-11-19,"Nonthaburi, Bangkok"
11,12,2,2021-12-30,2021-12-30,"Phra Nakhon Si Ayutthaya, Bangkok"
12,13,2,2021-12-31,2021-12-31,Nonthaburi
13,14,2,2021-12-31,2022-01-01,"Saraburi, Lop Buri"
14,15,2,2022-01-01,2022-01-02,Chiang Mai
15,16,2,2022-01-02,2022-01-03,"Lampang, Bangkok, Sukhothai, Samut Prakan"
16,17,2,2022-01-03,2022-01-03,"Nonthaburi, Bangkok"
17,18,2,2022-01-03,2022-01-04,"Samut Sakhon, Bangkok"
18,19,2,2022-01-04,2022-01-06,"Samut Prakan, Nonthaburi, Nakhon Pathom"
19,20,2,2022-01-06,2022-01-07,Nonthaburi
20,21,2,2022-01-07,2022-01-08,Phra Nakhon Si Ayutthaya
21,22,2,2022-01-08,2022-01-09,"Nonthaburi, Bangkok, Nakhon Pathom"
22,23,2,2022-01-09,2022-01-09,Nonthaburi
23,24,3,2021-01-02,2021-01-04,"Suphan Buri, Phra Nakhon Si Ayutthaya"
24,25,3,2021-01-04,2021-01-05,"Samut Sakhon, Samut Songkhram, Phetchaburi"
25,26,3,2021-01-05,2021-09-16,Suphan Buri
26,27,3,2021-09-16,2021-12-13,"Suphan Buri, Nakhon Sawan, Sing Buri"
27,28,3,2021-12-13,2021-12-15,"Samut Prakan, Kanchanaburi, Chanthaburi, Chachoengsao, Nakhon Pathom, Prachin Buri"
28,29,3,2021-12-15,2021-12-19,"Samut Sakhon, Bangkok, Nakhon Pathom"
29,30,3,2021-12-22,2021-12-23,Suphan Buri
30,31,3,2021-12-23,2021-12-24,"Nonthaburi, Bangkok"
31,32,3,2021-12-25,2021-12-25,Phetchaburi
32,33,3,2021-12-25,2021-12-26,Phetchaburi
33,34,3,2021-12-26,2021-12-26,Kanchanaburi
34,35,3,2021-12-28,2021-12-31,"Phetchaburi, Bangkok, Nakhon Pathom"
35,36,3,2021-12-31,2021-12-31,Samut Sakhon
36,37,3,2021-12-31,2022-01-01,"Samut Sakhon, Bangkok"
37,38,4,2021-10-14,2021-10-15,"Nakhon Sawan, Sing Buri"
38,39,4,2021-10-15,2021-10-15,Suphan Buri
39,40,4,2021-12-16,2021-12-17,"Suphan Buri, Nakhon Pathom"
